Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First round,,Thu,2023-10-12,16:00 (19:00),Myanmar mm,5–1,mo Macau,6213,Thuwunna Youth Training Center - Stadium,Pranjal Banerjee,Match Report,Leg 1 of 2
First round,,Thu,2023-10-12,16:00 (20:30),Maldives mv,1–1,bd Bangladesh,2555,Galolhu Rasmee Dhandu Stadium,Vahid Kazemi,Match Report,Leg 1 of 2
First round,,Thu,2023-10-12,17:30 (21:15),Nepal np,1–1,la Laos,11235,Dasharath Rangasala,Nivon Robesh,Match Report,Leg 1 of 2
First round,,Thu,2023-10-12,19:00 (23:30),Afghanistan af,1–0,mn Mongolia,1456,Varzişgohi Markazii Çumhurijavii (Neutral Site),Qasim Matar Al Hatmi,Match Report,Leg 1 of 2
First round,,Thu,2023-10-12,19:00 (21:30),Indonesia id,6–0,bn Brunei,23318,Stadion Utama Gelora Bung Karno,Bijan Heidari,Match Report,Leg 1 of 2
First round,,Thu,2023-10-12,19:00 (21:30),Cambodia kh,0–0,pk Pakistan,11718,Phnom Penh National Olympic Stadium,Baraa Aisha,Match Report,Leg 1 of 2
First round,,Thu,2023-10-12,19:00 (20:30),Chinese Taipei tw,4–0,tl Timor-Leste,1894,Kaohsiung National Stadium,Ismaeel Habib,Match Report,Leg 1 of 2
First round,,Thu,2023-10-12,19:30 (21:00),Singapore sg,2–1,gu Guam,10355,Bishan Stadium,Mohammad Ghabayen,Match Report,Leg 1 of 2
First round,,Thu,2023-10-12,20:00 (02:30),Yemen ye,3–0,lk Sri Lanka,1526,Damac Club Stadium (Neutral Site),Nasrullo Kabirov,Match Report,Leg 1 of 2
First round,,Thu,2023-10-12,20:00 (21:30),Hong Kong hk,4–0,bt Bhutan,10259,Hong Kong Stadium,Razlan Joffri,Match Report,Leg 1 of 2
First round,,Tue,2023-10-17,14:00 (18:30),Pakistan pk,1–0,kh Cambodia,9562,Jinnah Sports Stadium,Feras Taweel,Match Report,Leg 2 of 2; Pakistan won
First round,,Tue,2023-10-17,14:45 (14:15),Guam gu,0–1,sg Singapore,1012,GFA National Training Center 1,Chen Hsin-chuan,Match Report,Leg 2 of 2; Singapore won
First round,,Tue,2023-10-17,15:00 (16:30),Mongolia mn,0–1,af Afghanistan,2185,Football Centre MFF,Hasan Akrami,Match Report,Leg 2 of 2; Afghanistan won
First round,,Tue,2023-10-17,15:00 (19:00),Sri Lanka lk,1–1,ye Yemen,3000,Colombo Racecourse Stadium,Clifford Daypuyat,Match Report,Leg 2 of 2; Yemen won
First round,,Tue,2023-10-17,17:45 (21:15),Bangladesh bd,2–1,mv Maldives,6729,Bashundhara Kings Arena,Ammar Ebrahim Mahfoodh,Match Report,Leg 2 of 2; Bangladesh won
First round,,Tue,2023-10-17,18:00 (21:30),Bhutan bt,2–0,hk Hong Kong,5300,Changlimithang National Stadium,Thoriq Munir Alkatiri,Match Report,Leg 2 of 2; Hong Kong won
First round,,Tue,2023-10-17,19:00 (20:30),Timor-Leste tl,0–3,tw Chinese Taipei,745,Kaohsiung National Stadium (Neutral Site),Tejas Nagvenkar,Match Report,Leg 2 of 2; Chinese Taipei won
First round,,Tue,2023-10-17,19:00 (21:30),Laos la,0–1,np Nepal,9772,Lao National Stadium KM16,Ali Reda,Match Report,Leg 2 of 2; Nepal won
First round,,Tue,2023-10-17,19:30 (21:00),Macau mo,0–0,mm Myanmar,2187,Estádio Campo Desportivo,Mahmood Salim Al Majarafi,Match Report,Leg 2 of 2; Myanmar won
First round,,Tue,2023-10-17,20:15 (21:45),Brunei bn,0–6,id Indonesia,17281,Stadium Negara Hassanal Bolkiah,Ahmed Al Ali,Match Report,Leg 2 of 2; Indonesia won
Second round,1,Thu,2023-11-16,17:45 (00:15),Iraq iq,5–1,id Indonesia,64447,Al Bahri Stadium,Ahmed Eisa Darwish,Match Report,
Second round,1,Thu,2023-11-16,18:00 (22:30),Tajikistan tj,1–1,jo Jordan,13650,Varzişgohi Markazii Çumhurijavii,Ali Sabah Al Qaysi,Match Report,
Second round,1,Thu,2023-11-16,18:00 (23:30),Lebanon lb,0–0,ps Palestine,200,Khalid bin Mohammed Stadium,Adham Makhadmeh,Match Report,
Second round,1,Thu,2023-11-16,18:00 (00:00),IR Iran ir,4–0,hk Hong Kong,6193,Azadi Stadium,Nazmi Nasaruddin,Match Report,
Second round,1,Thu,2023-11-16,18:45 (01:15),Qatar qa,8–1,af Afghanistan,19374,Khalifa International Stadium,Nasrullo Kabirov,Match Report,
Second round,1,Thu,2023-11-16,19:00 (20:30),Philippines ph,0–2,vn Vietnam,10378,Rizal Memorial Stadium,Rustam Lutfullin,Match Report,
Second round,1,Thu,2023-11-16,19:00 (00:30),Oman om,3–0,tw Chinese Taipei,4155,Sultan Qaboos Sport Complex,Sadullo Gulmurodi,Match Report,
Second round,1,Thu,2023-11-16,19:00 (23:30),Turkmenistan tm,1–3,uz Uzbekistan,19500,Aşgabat Köpugurly Stadiony,Hiroyuki Kimura,Match Report,
Second round,1,Thu,2023-11-16,19:02 (19:32),Japan jp,5–0,mm Myanmar,34484,Panasonic Stadium Suita,Taqi Aljaafari,Match Report,
Second round,1,Thu,2023-11-16,19:30 (22:00),Thailand th,1–2,cn China PR,35009,Rajamangala National Stadium,Salman Ahmad Falahi,Match Report,
Second round,1,Thu,2023-11-16,19:30 (02:00),Saudi Arabia sa,4–0,pk Pakistan,11150,Maydan Tamwel Aloula Stadium,Hanna Hattab,Match Report,
Second round,1,Thu,2023-11-16,19:30 (02:00),Kuwait kw,0–1,in India,32786,Jaber Al-Ahmad International Stadium,Shaun Evans,Match Report,
Second round,1,Thu,2023-11-16,19:45 (01:15),UAE ae,4–0,np Nepal,3640,Al Maktoum Stadium,Dilan Perera,Match Report,
Second round,1,Thu,2023-11-16,20:00 (20:30),Korea Republic kr,5–0,sg Singapore,64381,Seoul World Cup Stadium,Bijan Heidari,Match Report,
Second round,1,Thu,2023-11-16,20:00 (02:30),Syria sy,1–0,kp Korea DPR,4285,Prince Abdullah Al Faisal Stadium,Alireza Faghani,Match Report,
Second round,1,Thu,2023-11-16,20:10 (18:40),Australia au,7–0,bd Bangladesh,20876,AAMI Park,Axrol Riskullayev,Match Report,
Second round,1,Thu,2023-11-16,21:00 (03:30),Yemen ye,0–2,bh Bahrain,1291,Prince Sultan bin Abdul Aziz Stadium,Kim Heegon,Match Report,
Second round,1,Thu,2023-11-16,21:00 (22:30),Malaysia my,4–3,kg Kyrgyz Republic,17142,Stadium Nasional Bukit Jalil,Ammar Ebrahim Mahfoodh,Match Report,
,,,,,,,,,,,,
Second round,2,Tue,2023-11-21,14:00 (18:30),Pakistan pk,1–6,tj Tajikistan,18316,Jinnah Sports Stadium,Yūsuke Araki,Match Report,
Second round,2,Tue,2023-11-21,16:00 (19:00),Myanmar mm,1–6,kp Korea DPR,9500,Thuwunna Youth Training Center - Stadium,Ilgiz Tantashev,Match Report,
Second round,2,Tue,2023-11-21,17:00 (23:30),Palestine ps,0–1,au Australia,14537,Jaber Al-Ahmad International Stadium (Neutral Site),Qasim Matar Al Hatmi,Match Report,
Second round,2,Tue,2023-11-21,17:45 (21:15),Bangladesh bd,1–1,lb Lebanon,6297,Bashundhara Kings Arena,Kim Daeyong,Match Report,
