Date,Home,Score,Away,Notes
2025-11-13,IR Iran,0-0,Cabo Verde,IR Iran won on penalties; shootout goals excluded
2025-11-14,Egypt,0-2,Uzbekistan,
2025-11-17,Cabo Verde,1-1,Egypt,Egypt won on penalties; shootout goals excluded
2025-11-18,IR Iran,0-0,Uzbekistan,Uzbekistan won on penalties; shootout goals excluded
2025-12-01,Qatar,0-1,Palestine,
2025-12-04,Syria,1-1,Qatar,
2025-12-07,Qatar,0-3,Tunisia,
2025-12-12,Jordan,1-0,Iraq,
2025-12-18,Jordan,2-3,Morocco,Required Extra Time
2026-03-27,Australia,1-0,Cameroon,
2026-03-27,China PR,2-0,Curaçao,
2026-03-27,Chile,4-2,Cabo Verde,
2026-03-27,New Zealand,0-2,Finland,
2026-03-27,Uzbekistan,3-1,Gabon,
2026-03-27,IR Iran,1-2,Nigeria,
2026-03-27,Jordan,2-2,Costa Rica,
2026-03-30,Cabo Verde,1-1,Finland,Cabo Verde won on penalties; shootout goals excluded
2026-03-30,New Zealand,4-1,Chile,
2026-03-30,Uzbekistan,0-0,Venezuela,Uzbekistan won on penalties; shootout goals excluded
2026-03-31,Australia,5-1,Curaçao,
2026-03-31,IR Iran,5-0,Costa Rica,
2026-03-31,Jordan,2-2,Nigeria,


# Results: https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/qualified-teams-nations-march-fixtures-results
# March 27 date: https://www.fifa.com/en/tournaments/series/2026/articles/fifa-series-round-up-matchday-three
# March 31 date: https://www.fifa.com/en/tournaments/series/articles/every-player-of-the-series-winner
# Dec 31 2025: https://www.fifa.com/en/tournaments/mens/arab-cup/qatar-2025/articles/arab-cup-fixtures-and-results
# https://inside.fifa.com/en/data-centre/teams/ir-iran
# https://inside.fifa.com/en/data-centre/teams/egypt
