match_id,date,round,team,opponent,goals_scored,is_knockout,team_scored_last5,team_conceded_last5,opponent_scored_last5,opponent_conceded_last5,team_scoring_std_last5
1,2026-06-11,Group stage,Mexico,South Africa,2,0,1.8,0.4,1.2,1.4,1.9235384061671346
1,2026-06-11,Group stage,South Africa,Mexico,0,0,1.2,1.4,1.8,0.4,1.0954451150103324
2,2026-06-11,Group stage,Korea Republic,Czechia,2,0,1.4,1.0,3.0,1.2,2.073644135332772
2,2026-06-11,Group stage,Czechia,Korea Republic,1,0,3.0,1.2,1.4,1.0,1.7320508075688772
3,2026-06-12,Group stage,Canada,Bosnia–Herz,1,0,1.4,0.6,0.8,0.8,0.8944271909999159
3,2026-06-12,Group stage,Bosnia–Herz,Canada,1,0,0.8,0.8,1.4,0.6,0.4472135954999579
4,2026-06-12,Group stage,USA,Paraguay,4,0,2.2,2.4,1.8,1.0,1.9235384061671346
4,2026-06-12,Group stage,Paraguay,USA,1,0,1.8,1.0,2.2,2.4,1.3038404810405297
5,2026-06-13,Group stage,Qatar,Switzerland,1,0,0.2,1.2,1.8,1.4,0.44721359549995804
5,2026-06-13,Group stage,Switzerland,Qatar,1,0,1.8,1.4,0.2,1.2,1.6431676725154984
6,2026-06-13,Group stage,Brazil,Morocco,1,0,2.6,1.4,1.6,0.8,2.073644135332772
6,2026-06-13,Group stage,Morocco,Brazil,1,0,1.6,0.8,2.6,1.4,1.51657508881031
7,2026-06-13,Group stage,Australia,Türkiye,2,0,1.4,1.2,2.0,0.6,2.073644135332772
7,2026-06-13,Group stage,Türkiye,Australia,0,0,2.0,0.6,1.4,1.2,1.224744871391589
8,2026-06-13,Group stage,Haiti,Scotland,0,0,1.6,0.8,2.4,1.0,1.51657508881031
8,2026-06-13,Group stage,Scotland,Haiti,1,0,2.4,1.0,1.6,0.8,2.1908902300206647
9,2026-06-14,Group stage,Germany,Curaçao,7,0,3.6,1.0,1.2,2.2,1.6733200530681511
9,2026-06-14,Group stage,Curaçao,Germany,1,0,1.2,2.2,3.6,1.0,1.6431676725154982
10,2026-06-14,Group stage,Netherlands,Japan,2,0,1.8,0.8,1.6,0.0,1.4832396974191326
10,2026-06-14,Group stage,Japan,Netherlands,2,0,1.6,0.0,1.8,0.8,0.8944271909999159
11,2026-06-14,Group stage,Côte d'Ivoire,Ecuador,1,0,2.4,0.8,1.8,0.6,1.140175425099138
11,2026-06-14,Group stage,Ecuador,Côte d'Ivoire,0,0,1.8,0.6,2.4,0.8,0.8366600265340756
12,2026-06-14,Group stage,Sweden,Tunisia,5,0,2.0,1.8,0.4,1.4,1.0
12,2026-06-14,Group stage,Tunisia,Sweden,1,0,0.4,1.4,2.0,1.8,0.5477225575051662
13,2026-06-15,Group stage,Belgium,Egypt,1,0,4.0,0.6,1.2,0.4,2.449489742783178
13,2026-06-15,Group stage,Egypt,Belgium,1,0,1.2,0.4,4.0,0.6,1.6431676725154982
14,2026-06-15,Group stage,Spain,Cabo Verde,0,0,1.8,0.8,2.0,1.2,1.3038404810405297
14,2026-06-15,Group stage,Cabo Verde,Spain,0,0,2.0,1.2,1.8,0.8,1.0
15,2026-06-15,Group stage,Saudi Arabia,Uruguay,1,0,1.0,1.6,0.8,1.4,1.224744871391589
15,2026-06-15,Group stage,Uruguay,Saudi Arabia,1,0,0.8,1.4,1.0,1.6,0.8366600265340756
16,2026-06-15,Group stage,IR Iran,New Zealand,2,0,2.2,0.6,0.8,2.0,1.9235384061671346
16,2026-06-15,Group stage,New Zealand,IR Iran,2,0,0.8,2.0,2.2,0.6,1.7888543819998322
17,2026-06-16,Group stage,France,Senegal,3,0,2.4,1.2,1.6,0.8,0.8944271909999159
17,2026-06-16,Group stage,Senegal,France,1,0,1.6,0.8,2.4,1.2,1.140175425099138
18,2026-06-16,Group stage,Iraq,Norway,1,0,0.8,1.0,1.8,1.0,0.8366600265340756
18,2026-06-16,Group stage,Norway,Iraq,4,0,1.8,1.0,0.8,1.0,1.6431676725154984
19,2026-06-16,Group stage,Argentina,Algeria,3,0,2.8,0.2,2.4,0.4,1.3038404810405297
19,2026-06-16,Group stage,Algeria,Argentina,0,0,2.4,0.4,2.8,0.2,3.049590136395381
20,2026-06-16,Group stage,Austria,Jordan,3,0,2.0,0.4,1.4,2.6,1.7320508075688772
20,2026-06-16,Group stage,Jordan,Austria,1,0,1.4,2.6,2.0,0.4,0.8944271909999159
21,2026-06-17,Group stage,Portugal,Congo DR,1,0,3.0,0.6,0.8,0.6,3.4641016151377544
21,2026-06-17,Group stage,Congo DR,Portugal,1,0,0.8,0.6,3.0,0.6,0.8366600265340756
22,2026-06-17,Group stage,England,Croatia,4,0,1.4,0.4,1.6,1.8,1.140175425099138
22,2026-06-17,Group stage,Croatia,England,2,0,1.6,1.8,1.4,0.4,1.140175425099138
23,2026-06-17,Group stage,Ghana,Panama,1,0,0.6,2.2,2.0,2.2,0.5477225575051662
23,2026-06-17,Group stage,Panama,Ghana,0,0,2.0,2.2,0.6,2.2,1.224744871391589
24,2026-06-17,Group stage,Uzbekistan,Colombia,1,0,0.8,1.0,2.0,1.2,1.30384048104053
24,2026-06-17,Group stage,Colombia,Uzbekistan,3,0,2.0,1.2,0.8,1.0,1.0
25,2026-06-18,Group stage,Czechia,South Africa,1,0,2.0,1.6,0.6,1.4,0.7071067811865476
25,2026-06-18,Group stage,South Africa,Czechia,1,0,0.6,1.4,2.0,1.6,0.5477225575051662
26,2026-06-18,Group stage,Switzerland,Bosnia–Herz,4,0,1.8,1.4,0.8,0.8,1.6431676725154984
26,2026-06-18,Group stage,Bosnia–Herz,Switzerland,1,0,0.8,0.8,1.8,1.4,0.4472135954999579
27,2026-06-18,Group stage,Canada,Qatar,6,0,1.2,0.8,0.4,1.2,0.8366600265340756
27,2026-06-18,Group stage,Qatar,Canada,0,0,0.4,1.2,1.2,0.8,0.5477225575051662
28,2026-06-18,Group stage,Mexico,Korea Republic,1,0,2.2,0.4,1.6,1.2,1.6431676725154984
